degree,n,time
20,21,0.000049000000000000
20,22,0.000041200000000000
20,23,0.000042600000000000
20,24,0.000043500000000000
20,25,0.000045000000000000
20,26,0.000142800000000000
20,27,0.000056700000000000
20,28,0.000055400000000000
20,29,0.000057900000000000
20,30,0.000059800000000000
20,31,0.000063000000000000
20,32,0.000064800000000000
20,33,0.000070700000000000
20,34,0.000072500000000000
20,35,0.000076900000000000
20,36,0.000078600000000000
20,37,0.000080500000000000
20,38,0.000082500000000000
20,39,0.000084500000000000
20,40,0.000085100000000000
21,22,0.000028600000000000
21,23,0.000029900000000000
21,24,0.000031700000000000
21,25,0.000033100000000000
21,26,0.000037400000000000
21,27,0.000039100000000000
21,28,0.000040600000000000
21,29,0.000043100000000000
21,30,0.000044500000000000
21,31,0.000047700000000000
21,32,0.000049700000000000
21,33,0.000052400000000000
21,34,0.000054000000000000
21,35,0.000056400000000000
21,36,0.000058500000000000
21,37,0.000060500000000000
21,38,0.000062200000000000
21,39,0.000064600000000000
21,40,0.000065300000000000
21,41,0.000067500000000000
21,42,0.000068500000000000
22,23,0.000027700000000000
22,24,0.000027600000000000
22,25,0.000028800000000000
22,26,0.000032100000000000
22,27,0.000032400000000000
22,28,0.000033200000000000
22,29,0.000035000000000000
22,30,0.000036200000000000
22,31,0.000038000000000000
22,32,0.000039400000000000
22,33,0.000042000000000000
22,34,0.000043900000000000
22,35,0.000046200000000000
22,36,0.000047600000000000
22,37,0.000049400000000000
22,38,0.000051200000000000
22,39,0.000054400000000000
22,40,0.000053300000000000
22,41,0.000054500000000000
22,42,0.000055600000000000
22,43,0.000057300000000000
22,44,0.000058700000000000
23,24,0.000025500000000000
23,25,0.000026300000000000
23,26,0.000027400000000000
23,27,0.000028600000000000
23,28,0.000029600000000000
23,29,0.000030900000000000
23,30,0.000032400000000000
23,31,0.000033600000000000
23,32,0.000034900000000000
23,33,0.000037500000000000
23,34,0.000039100000000000
23,35,0.000040600000000000
23,36,0.000042200000000000
23,37,0.000043700000000000
23,38,0.000045100000000000
23,39,0.000046200000000000
23,40,0.000047100000000000
23,41,0.000048600000000000
23,42,0.000049600000000000
23,43,0.000051500000000000
23,44,0.000052400000000000
23,45,0.000054700000000000
23,46,0.000055700000000000
24,25,0.000025100000000000
24,26,0.000024500000000000
24,27,0.000025800000000000
24,28,0.000026900000000000
24,29,0.000028300000000000
24,30,0.000029500000000000
24,31,0.000030600000000000
24,32,0.000032200000000000
24,33,0.000034400000000000
24,34,0.000035500000000000
24,35,0.000037000000000000
24,36,0.000038500000000000
24,37,0.000039500000000000
24,38,0.000041000000000000
24,39,0.000042100000000000
24,40,0.000042300000000000
24,41,0.000044000000000000
24,42,0.000045500000000000
24,43,0.000047300000000000
24,44,0.000048200000000000
24,45,0.000049200000000000
24,46,0.000050600000000000
24,47,0.000052300000000000
24,48,0.000053700000000000
25,26,0.000023800000000000
25,27,0.000024100000000000
25,28,0.000025200000000000
25,29,0.000026600000000000
25,30,0.000027300000000000
25,31,0.000028900000000000
25,32,0.000029800000000000
25,33,0.000031900000000000
25,34,0.000033400000000000
25,35,0.000035100000000000
25,36,0.000036000000000000
25,37,0.000037200000000000
25,38,0.000038600000000000
25,39,0.000039800000000000
25,40,0.000040300000000000
25,41,0.000041500000000000
25,42,0.000042700000000000
25,43,0.000044100000000000
25,44,0.000045200000000000
25,45,0.000046200000000000
25,46,0.000047500000000000
25,47,0.000048900000000000
25,48,0.000050200000000000
25,49,0.000052900000000000
25,50,0.000053900000000000
26,27,0.000030300000000000
26,28,0.000024200000000000
26,29,0.000025100000000000
26,30,0.000025600000000000
26,31,0.000027000000000000
26,32,0.000028300000000000
26,33,0.000030000000000000
26,34,0.000031100000000000
26,35,0.000033100000000000
26,36,0.000033600000000000
26,37,0.000034800000000000
26,38,0.000036100000000000
26,39,0.000037000000000000
26,40,0.000037500000000000
26,41,0.000038600000000000
26,42,0.000039900000000000
26,43,0.000041100000000000
26,44,0.000042000000000000
26,45,0.000043700000000000
26,46,0.000044700000000000
26,47,0.000045700000000000
26,48,0.000047500000000000
26,49,0.000049000000000000
26,50,0.000049800000000000
26,51,0.000081400000000000
26,52,0.000069000000000000
27,28,0.000032900000000000
27,29,0.000027100000000000
27,30,0.000025800000000000
27,31,0.000027600000000000
27,32,0.000027700000000000
27,33,0.000029900000000000
27,34,0.000030800000000000
